symbol,status,rows,start_date,end_date,error
CLBT.TO,failed,0,,,no_data
CLX.TO,failed,0,,,no_data
CMBT.TO,failed,0,,,no_data
CMCSA.TO,failed,0,,,no_data
CMRE.TO,failed,0,,,no_data
CNA.TO,failed,0,,,no_data
CNS.TO,failed,0,,,no_data
CNX.TO,failed,0,,,no_data
COLB.TO,failed,0,,,no_data
COSO.TO,failed,0,,,no_data
CPA.TO,failed,0,,,no_data
CPRT.TO,failed,0,,,no_data
CPRX.TO,failed,0,,,no_data
CRDO.TO,failed,0,,,no_data
CRE.TO,failed,0,,,no_data
CRESY.TO,failed,0,,,no_data
CRMD.TO,failed,0,,,no_data
CRUS.TO,failed,0,,,no_data
CSQ.TO,failed,0,,,no_data
CSWC.TO,failed,0,,,no_data
CTBI.TO,failed,0,,,no_data
CTRE.TO,failed,0,,,no_data
CTSH.TO,failed,0,,,no_data
CUZ.TO,failed,0,,,no_data
CVBF.TO,failed,0,,,no_data
CWBC.TO,failed,0,,,no_data
CZFS.TO,failed,0,,,no_data
DAVE.TO,failed,0,,,no_data
DBX.TO,failed,0,,,no_data
DDI.TO,failed,0,,,no_data
DEFT.TO,failed,0,,,no_data
DINO.TO,failed,0,,,no_data
DIR.UN.TO,failed,0,,,no_data
DLNG.TO,failed,0,,,no_data
DMLP.TO,failed,0,,,no_data
DMO.TO,failed,0,,,no_data
DNP.TO,failed,0,,,no_data
DOCS.TO,failed,0,,,no_data
DOCU.TO,failed,0,,,no_data
DOX.TO,failed,0,,,no_data
DPG.TO,failed,0,,,no_data
DPZ.TO,failed,0,,,no_data
DRD.TO,failed,0,,,no_data
DSL.TO,failed,0,,,no_data
DUOL.TO,failed,0,,,no_data
DX.TO,failed,0,,,no_data
DXCM.TO,failed,0,,,no_data
DXYZ.TO,failed,0,,,no_data
EBAY.TO,failed,0,,,no_data
EC.TO,failed,0,,,no_data
EDD.TO,failed,0,,,no_data
EDF.TO,failed,0,,,no_data
EDN.TO,failed,0,,,no_data
EFC.TO,failed,0,,,no_data
EFSC.TO,failed,0,,,no_data
EFSCP.TO,failed,0,,,no_data
EFSI.TO,failed,0,,,no_data
EGAN.TO,failed,0,,,no_data
ELOG.TO,failed,0,,,no_data
EMD.TO,failed,0,,,no_data
EMF.TO,failed,0,,,no_data
EMN.TO,failed,0,,,no_data
EMO.TO,failed,0,,,no_data
ENIC.TO,failed,0,,,no_data
EOD.TO,failed,0,,,no_data
EOI.TO,failed,0,,,no_data
EOS.TO,failed,0,,,no_data
EPRT.TO,failed,0,,,no_data
EQNR.TO,failed,0,,,no_data
EQR.TO,failed,0,,,no_data
EQT.TO,failed,0,,,no_data
ERIC.TO,failed,0,,,no_data
ESEA.TO,failed,0,,,no_data
ESTC.TO,failed,0,,,no_data
ETB.TO,failed,0,,,no_data
ETO.TO,failed,0,,,no_data
ETOR.TO,failed,0,,,no_data
ETSY.TO,failed,0,,,no_data
ETV.TO,failed,0,,,no_data
ETW.TO,failed,0,,,no_data
EVR.TO,failed,0,,,no_data
EXEL.TO,failed,0,,,no_data
EXG.TO,failed,0,,,no_data
EXPE.TO,failed,0,,,no_data
FAF.TO,failed,0,,,no_data
FAST.TO,failed,0,,,no_data
FCCO.TO,failed,0,,,no_data
FCNCN.TO,failed,0,,,no_data
FCNCO.TO,failed,0,,,no_data
FCPT.TO,failed,0,,,no_data
FCR.UN.TO,failed,0,,,no_data
FDBC.TO,failed,0,,,no_data
FDP.TO,failed,0,,,no_data
FDS.TO,failed,0,,,no_data
FFA.TO,failed,0,,,no_data
FFBC.TO,failed,0,,,no_data
FFIV.TO,failed,0,,,no_data
FG.TO,failed,0,,,no_data
FIBK.TO,failed,0,,,no_data
FICO.TO,failed,0,,,no_data
FIEE.TO,failed,0,,,no_data
FINV.TO,failed,0,,,no_data
FIS.TO,failed,0,,,no_data
FNF.TO,failed,0,,,no_data
FNRN.TO,failed,0,,,no_data
FOF.TO,failed,0,,,no_data
FPF.TO,failed,0,,,no_data
FRME.TO,failed,0,,,no_data
FRMEP.TO,failed,0,,,no_data
FRO.TO,failed,0,,,no_data
FRSH.TO,failed,0,,,no_data
FSLR.TO,failed,0,,,no_data
FSM.TO,failed,0,,,no_data
FTDR.TO,failed,0,,,no_data
FULT.TO,failed,0,,,no_data
FULTP.TO,failed,0,,,no_data
FUNC.TO,failed,0,,,no_data
FUND.TO,failed,0,,,no_data
FUTU.TO,failed,0,,,no_data
GAB.TO,failed,0,,,no_data
GCV.TO,failed,0,,,no_data
GDDY.TO,failed,0,,,no_data
GFI.TO,failed,0,,,no_data
GGAL.TO,failed,0,,,no_data
GGG.TO,failed,0,,,no_data
GGT.TO,failed,0,,,no_data
GGZ.TO,failed,0,,,no_data
GIC.TO,failed,0,,,no_data
GLRE.TO,failed,0,,,no_data
GNK.TO,failed,0,,,no_data
GNT.TO,failed,0,,,no_data
GOF.TO,failed,0,,,no_data
GOOGL.TO,failed,0,,,no_data
GOOGM.TO,failed,0,,,no_data
GOOGN.TO,failed,0,,,no_data
GPI.TO,failed,0,,,no_data
GPOR.TO,failed,0,,,no_data
GRMN.TO,failed,0,,,no_data
GRND.TO,failed,0,,,no_data
GRT.UN.TO,failed,0,,,no_data
GRVY.TO,failed,0,,,no_data
GSBC.TO,failed,0,,,no_data
GSK.TO,failed,0,,,no_data
GSL.TO,failed,0,,,no_data
GTY.TO,failed,0,,,no_data
HAFC.TO,failed,0,,,no_data
HBAN.TO,failed,0,,,no_data
HBANL.TO,failed,0,,,no_data
HBANM.TO,failed,0,,,no_data
HBANP.TO,failed,0,,,no_data
HBANZ.TO,failed,0,,,no_data
HBCP.TO,failed,0,,,no_data
HBNC.TO,failed,0,,,no_data
HCM.TO,failed,0,,,no_data
HFWA.TO,failed,0,,,no_data
HIFS.TO,failed,0,,,no_data
HL.TO,failed,0,,,no_data
HMN.TO,failed,0,,,no_data
HMY.TO,failed,0,,,no_data
HNI.TO,failed,0,,,no_data
HOMB.TO,failed,0,,,no_data
HOPE.TO,failed,0,,,no_data
HOUR.TO,failed,0,,,no_data
HP.TO,failed,0,,,no_data
HQH.TO,failed,0,,,no_data
HRB.TO,failed,0,,,no_data
HRL.TO,failed,0,,,no_data
HRMY.TO,failed,0,,,no_data
HRTG.TO,failed,0,,,no_data
HST.TO,failed,0,,,no_data
HYT.TO,failed,0,,,no_data
IAE.TO,failed,0,,,no_data
IBKR.TO,failed,0,,,no_data
ICL.TO,failed,0,,,no_data
IDCC.TO,failed,0,,,no_data
IDXX.TO,failed,0,,,no_data
IGA.TO,failed,0,,,no_data
IHS.TO,failed,0,,,no_data
IIP.UN.TO,failed,0,,,no_data
IIPR.TO,failed,0,,,no_data
ILMN.TO,failed,0,,,no_data
IMPP.TO,failed,0,,,no_data
INCY.TO,failed,0,,,no_data
INGR.TO,failed,0,,,no_data
INMD.TO,failed,0,,,no_data
INOD.TO,failed,0,,,no_data
INR.TO,failed,0,,,no_data
INSP.TO,failed,0,,,no_data
INSW.TO,failed,0,,,no_data
INVA.TO,failed,0,,,no_data
INVH.TO,failed,0,,,no_data
IP.TO,failed,0,,,no_data
IPAR.TO,failed,0,,,no_data
IRMD.TO,failed,0,,,no_data
IRS.TO,failed,0,,,no_data
IRT.TO,failed,0,,,no_data
IRWD.TO,failed,0,,,no_data
ISSC.TO,failed,0,,,no_data
IT.TO,failed,0,,,no_data
ITRN.TO,failed,0,,,no_data
IVZ.TO,failed,0,,,no_data
IX.TO,failed,0,,,no_data
JCAP.TO,failed,0,,,no_data
JD.TO,failed,0,,,no_data
JFIN.TO,failed,0,,,no_data
JJSF.TO,failed,0,,,no_data
JKHY.TO,failed,0,,,no_data
JOYY.TO,failed,0,,,no_data
JPC.TO,failed,0,,,no_data
JRI.TO,failed,0,,,no_data
JXN.TO,failed,0,,,no_data
KARO.TO,failed,0,,,no_data
KB.TO,failed,0,,,no_data
KEP.TO,failed,0,,,no_data
KG.TO,failed,0,,,no_data
KHC.TO,failed,0,,,no_data
KMP.UN.TO,failed,0,,,no_data
KMPB.TO,failed,0,,,no_data
KO.TO,failed,0,,,no_data
KOF.TO,failed,0,,,no_data
KRC.TO,failed,0,,,no_data
KRP.TO,failed,0,,,no_data
KTB.TO,failed,0,,,no_data
KVUE.TO,failed,0,,,no_data
LAD.TO,failed,0,,,no_data
LE.TO,failed,0,,,no_data
LGI.TO,failed,0,,,no_data
LIEN.TO,failed,0,,,no_data
LKFN.TO,failed,0,,,no_data
LKFT.TO,failed,0,,,no_data
LNC.TO,failed,0,,,no_data
LNTH.TO,failed,0,,,no_data
LOGI.TO,failed,0,,,no_data
LOPE.TO,failed,0,,,no_data
LTC.TO,failed,0,,,no_data
LX.TO,failed,0,,,no_data
LXP.TO,failed,0,,,no_data
MAIN.TO,failed,0,,,no_data
MAKO.TO,failed,0,,,no_data
MATV.TO,failed,0,,,no_data
MBINL.TO,failed,0,,,no_data
MBINN.TO,failed,0,,,no_data
MCD.TO,failed,0,,,no_data
MCHB.TO,failed,0,,,no_data
MCRI.TO,failed,0,,,no_data
MDLZ.TO,failed,0,,,no_data
MELI.TO,failed,0,,,no_data
MHD.TO,failed,0,,,no_data
MHO.TO,failed,0,,,no_data
MKL.TO,failed,0,,,no_data
MKTX.TO,failed,0,,,no_data
MNDO.TO,failed,0,,,no_data
MNST.TO,failed,0,,,no_data
MOS.TO,failed,0,,,no_data
MPWR.TO,failed,0,,,no_data
MQY.TO,failed,0,,,no_data
MRP.TO,failed,0,,,no_data
MSB.TO,failed,0,,,no_data
MSCI.TO,failed,0,,,no_data
MSD.TO,failed,0,,,no_data
MSGM.TO,failed,0,,,no_data
MSI.TO,failed,0,,,no_data
MSIF.TO,failed,0,,,no_data
MTG.TO,failed,0,,,no_data
MUR.TO,failed,0,,,no_data
MXE.TO,failed,0,,,no_data
MYI.TO,failed,0,,,no_data
MZTI.TO,failed,0,,,no_data
NAC.TO,failed,0,,,no_data
NAD.TO,failed,0,,,no_data
NAGE.TO,failed,0,,,no_data
NBTB.TO,failed,0,,,no_data
NCSM.TO,failed,0,,,no_data
NCZ.TO,failed,0,,,no_data
NEA.TO,failed,0,,,no_data
NEM.TO,failed,0,,,no_data
NEON.TO,failed,0,,,no_data
NEWT.TO,failed,0,,,no_data
NFJ.TO,failed,0,,,no_data
NHI.TO,failed,0,,,no_data
NICE.TO,failed,0,,,no_data
NLY.TO,failed,0,,,no_data
NMAI.TO,failed,0,,,no_data
NMZ.TO,failed,0,,,no_data
NOMD.TO,failed,0,,,no_data
NPB.TO,failed,0,,,no_data
NREF.TO,failed,0,,,no_data
NRP.TO,failed,0,,,no_data
NRT.TO,failed,0,,,no_data
NSSC.TO,failed,0,,,no_data
NTAP.TO,failed,0,,,no_data
NTB.TO,failed,0,,,no_data
NTST.TO,failed,0,,,no_data
NUTX.TO,failed,0,,,no_data
NUV.TO,failed,0,,,no_data
NVEC.TO,failed,0,,,no_data
NVG.TO,failed,0,,,no_data
NVMI.TO,failed,0,,,no_data
NWBI.TO,failed,0,,,no_data
NWFL.TO,failed,0,,,no_data
NXG.TO,failed,0,,,no_data
NZF.TO,failed,0,,,no_data
OCFC.TO,failed,0,,,no_data
OFLX.TO,failed,0,,,no_data
OHI.TO,failed,0,,,no_data
OMAB.TO,failed,0,,,no_data
ONB.TO,failed,0,,,no_data
ONIT.TO,failed,0,,,no_data
OPBK.TO,failed,0,,,no_data
OPRA.TO,failed,0,,,no_data
OPY.TO,failed,0,,,no_data
ORC.TO,failed,0,,,no_data
ORLY.TO,failed,0,,,no_data
ORMP.TO,failed,0,,,no_data
ORRF.TO,failed,0,,,no_data
OSBC.TO,failed,0,,,no_data
OSPN.TO,failed,0,,,no_data
OTF.TO,failed,0,,,no_data
OVLY.TO,failed,0,,,no_data
OZK.TO,failed,0,,,no_data
OZKAP.TO,failed,0,,,no_data
PATH.TO,failed,0,,,no_data
PAYC.TO,failed,0,,,no_data
PAYX.TO,failed,0,,,no_data
PB.TO,failed,0,,,no_data
PBR.TO,failed,0,,,no_data
PBYI.TO,failed,0,,,no_data
PCTY.TO,failed,0,,,no_data
PDD.TO,failed,0,,,no_data
PDO.TO,failed,0,,,no_data
PEBO.TO,failed,0,,,no_data
PEGA.TO,failed,0,,,no_data
PFIS.TO,failed,0,,,no_data
PGP.TO,failed,0,,,no_data
PGR.TO,failed,0,,,no_data
PHK.TO,failed,0,,,no_data
PIPR.TO,failed,0,,,no_data
PKBK.TO,failed,0,,,no_data
PLAB.TO,failed,0,,,no_data
PLGO.TO,failed,0,,,no_data
PM.TO,failed,0,,,no_data
PRDO.TO,failed,0,,,no_data
PSEC.TO,failed,0,,,no_data
PTC.TO,failed,0,,,no_data
PTEN.TO,failed,0,,,no_data
PTY.TO,failed,0,,,no_data
QCRH.TO,failed,0,,,no_data
QFIN.TO,failed,0,,,no_data
QLYS.TO,failed,0,,,no_data
RACE.TO,failed,0,,,no_data
RAVE.TO,failed,0,,,no_data
RCI.TO,failed,0,,,no_data
RCL.TO,failed,0,,,no_data
RCS.TO,failed,0,,,no_data
RECT.TO,failed,0,,,no_data
REFI.TO,failed,0,,,no_data
REG.TO,failed,0,,,no_data
REGCO.TO,failed,0,,,no_data
REGCP.TO,failed,0,,,no_data
RELX.TO,failed,0,,,no_data
RERE.TO,failed,0,,,no_data
REXR.TO,failed,0,,,no_data
REYN.TO,failed,0,,,no_data
RF.TO,failed,0,,,no_data
RIGL.TO,failed,0,,,no_data
RILY.TO,failed,0,,,no_data
RILYL.TO,failed,0,,,no_data
RILYP.TO,failed,0,,,no_data
RIV.TO,failed,0,,,no_data
RLX.TO,failed,0,,,no_data
RMBS.TO,failed,0,,,no_data
RMD.TO,failed,0,,,no_data
RMNI.TO,failed,0,,,no_data
RMT.TO,failed,0,,,no_data
RNR.TO,failed,0,,,no_data
ROL.TO,failed,0,,,no_data
RSSS.TO,failed,0,,,no_data
RVT.TO,failed,0,,,no_data
SABA.TO,failed,0,,,no_data
SAFT.TO,failed,0,,,no_data
SAGT.TO,failed,0,,,no_data
SAN.TO,failed,0,,,no_data
SBAC.TO,failed,0,,,no_data
SBFG.TO,failed,0,,,no_data
SBRA.TO,failed,0,,,no_data
SCCO.TO,failed,0,,,no_data
SD.TO,failed,0,,,no_data
SEIC.TO,failed,0,,,no_data
SENEA.TO,failed,0,,,no_data
SENEB.TO,failed,0,,,no_data
SEZL.TO,failed,0,,,no_data
SFNC.TO,failed,0,,,no_data
SGU.TO,failed,0,,,no_data
SHEL.TO,failed,0,,,no_data
SHIP.TO,failed,0,,,no_data
SHO.TO,failed,0,,,no_data
SHW.TO,failed,0,,,no_data
SIGIP.TO,failed,0,,,no_data
SILA.TO,failed,0,,,no_data
SIMO.TO,failed,0,,,no_data
SITC.TO,failed,0,,,no_data
SN.TO,failed,0,,,no_data
SNWV.TO,failed,0,,,no_data
SPG.TO,failed,0,,,no_data
SPXX.TO,failed,0,,,no_data
SSSS.TO,failed,0,,,no_data
STAG.TO,failed,0,,,no_data
STEW.TO,failed,0,,,no_data
STK.TO,failed,0,,,no_data
STNE.TO,failed,0,,,no_data
STNG.TO,failed,0,,,no_data
STRA.TO,failed,0,,,no_data
STRS.TO,failed,0,,,no_data
STRT.TO,failed,0,,,no_data
STX.TO,failed,0,,,no_data
SUI.TO,failed,0,,,no_data
SW.TO,failed,0,,,no_data
SWK.TO,failed,0,,,no_data
SWZ.TO,failed,0,,,no_data
TAP.TO,failed,0,,,no_data
TAYD.TO,failed,0,,,no_data
TBLA.TO,failed,0,,,no_data
TBLD.TO,failed,0,,,no_data
TBPH.TO,failed,0,,,no_data
TCBIO.TO,failed,0,,,no_data
TCBX.TO,failed,0,,,no_data
TDC.TO,failed,0,,,no_data
TDF.TO,failed,0,,,no_data
TEI.TO,failed,0,,,no_data
TEN.TO,failed,0,,,no_data
TG.TO,failed,0,,,no_data
TGLS.TO,failed,0,,,no_data
TGS.TO,failed,0,,,no_data
THFF.TO,failed,0,,,no_data
THW.TO,failed,0,,,no_data
TIGR.TO,failed,0,,,no_data
TLIH.TO,failed,0,,,no_data
TLK.TO,failed,0,,,no_data
TM.TO,failed,0,,,no_data
TMDX.TO,failed,0,,,no_data
TME.TO,failed,0,,,no_data
TNK.TO,failed,0,,,no_data
TOWN.TO,failed,0,,,no_data
TPL.TO,failed,0,,,no_data
TPVG.TO,failed,0,,,no_data
TREE.TO,failed,0,,,no_data
TRIN.TO,failed,0,,,no_data
TRMD.TO,failed,0,,,no_data
TRMK.TO,failed,0,,,no_data
TROW.TO,failed,0,,,no_data
TS.TO,failed,0,,,no_data
TSBK.TO,failed,0,,,no_data
TSM.TO,failed,0,,,no_data
TSN.TO,failed,0,,,no_data
TSXV:AFM.TO,failed,0,,,no_data
TTE.TO,failed,0,,,no_data
TWG.TO,failed,0,,,no_data
TX.TO,failed,0,,,no_data
TY.TO,failed,0,,,no_data
UBSI.TO,failed,0,,,no_data
UCL.TO,failed,0,,,no_data
UFCS.TO,failed,0,,,no_data
UG.TO,failed,0,,,no_data
UGI.TO,failed,0,,,no_data
UHS.TO,failed,0,,,no_data
UI.TO,failed,0,,,no_data
ULS.TO,failed,0,,,no_data
UMBFO.TO,failed,0,,,no_data
UMH.TO,failed,0,,,no_data
USLM.TO,failed,0,,,no_data
UTF.TO,failed,0,,,no_data
UTHR.TO,failed,0,,,no_data
UVV.TO,failed,0,,,no_data
V.TO,failed,0,,,no_data
VALE.TO,failed,0,,,no_data
VEL.TO,failed,0,,,no_data
VICI.TO,failed,0,,,no_data
VIPS.TO,failed,0,,,no_data
VITL.UN.TO,failed,0,,,no_data
VLTO.TO,failed,0,,,no_data
VLY.TO,failed,0,,,no_data
VLYPN.TO,failed,0,,,no_data
VNO.TO,failed,0,,,no_data
VNOM.TO,failed,0,,,no_data
VRSK.TO,failed,0,,,no_data
VTMX.TO,failed,0,,,no_data
VTRS.TO,failed,0,,,no_data
WAL.TO,failed,0,,,no_data
WB.TO,failed,0,,,no_data
WBS.TO,failed,0,,,no_data
WDFC.TO,failed,0,,,no_data
WDH.TO,failed,0,,,no_data
WDS.TO,failed,0,,,no_data
WEA.TO,failed,0,,,no_data
WINA.TO,failed,0,,,no_data
WING.TO,failed,0,,,no_data
WLY.TO,failed,0,,,no_data
WSE.TO,failed,0,,,no_data
WSFS.TO,failed,0,,,no_data
WSM.TO,failed,0,,,no_data
WTM.TO,failed,0,,,no_data
WTS.TO,failed,0,,,no_data
XLE.TO,failed,0,,,no_data
XNET.TO,failed,0,,,no_data
XP.TO,failed,0,,,no_data
XYF.TO,failed,0,,,no_data
YB.TO,failed,0,,,no_data
YELP.TO,failed,0,,,no_data
YSXT.TO,failed,0,,,no_data
YUM.TO,failed,0,,,no_data
ZTO.TO,failed,0,,,no_data
ZTR.TO,failed,0,,,no_data
ZTS.TO,failed,0,,,no_data
