"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","CHF/CAD"
2455572,"2011/01/10","Mon",0.97589
2455573,"2011/01/11","Tue",0.98513
2455574,"2011/01/12","Wed",0.98522
2455575,"2011/01/13","Thu",0.97523
2455576,"2011/01/14","Fri",0.97542
2455579,"2011/01/17","Mon",0.97847
2455580,"2011/01/18","Tue",0.97210
2455581,"2011/01/19","Wed",0.96451
2455582,"2011/01/20","Thu",0.96562
2455583,"2011/01/21","Fri",0.96432
"(C) 2011 Prof. Werner Antweiler, UBC"
