"PACIFIC Exchange Rate Service"
"Jul.Day","YYYY/MM/DD","Wdy","AUD/CAD"
2455461,"2010/09/21","Tue",1.02333
2455462,"2010/09/22","Wed",1.01564
2455463,"2010/09/23","Thu",1.01698
2455464,"2010/09/24","Fri",1.01678
2455467,"2010/09/27","Mon",1.01276
2455468,"2010/09/28","Tue",1.00321
2455469,"2010/09/29","Wed",0.99960
2455470,"2010/09/30","Thu",1.00715
2455471,"2010/10/01","Fri",1.00817
2455474,"2010/10/04","Mon",1.01092
2455475,"2010/10/05","Tue",1.01410
2455476,"2010/10/06","Wed",1.01502
2455477,"2010/10/07","Thu",1.00200
2455478,"2010/10/08","Fri",1.00010
2455482,"2010/10/12","Tue",1.00452
2455483,"2010/10/13","Wed",1.00503
2455484,"2010/10/14","Thu",1.00210
2455485,"2010/10/15","Fri",1.00110
2455488,"2010/10/18","Mon",0.99364
2455489,"2010/10/19","Tue",0.99512
2455490,"2010/10/20","Wed",0.99128
2455491,"2010/10/21","Thu",0.99374
2455492,"2010/10/22","Fri",0.99602
2455495,"2010/10/25","Mon",0.98726
2455496,"2010/10/26","Tue",0.99196
2455497,"2010/10/27","Wed",0.99910
2455498,"2010/10/28","Thu",1.00160
2455499,"2010/10/29","Fri",1.00200
2455502,"2010/11/01","Mon",0.99880
2455503,"2010/11/02","Tue",0.99128
2455504,"2010/11/03","Wed",0.99453
2455505,"2010/11/04","Thu",0.98396
2455506,"2010/11/05","Fri",0.98493
2455509,"2010/11/08","Mon",0.98464
2455510,"2010/11/09","Tue",0.98717
2455511,"2010/11/10","Wed",0.99582
2455513,"2010/11/12","Fri",1.00150
2455516,"2010/11/15","Mon",1.00321
2455517,"2010/11/16","Tue",1.00200
2455518,"2010/11/17","Wed",0.99770
2455519,"2010/11/18","Thu",0.99394
2455520,"2010/11/19","Fri",0.99503
2455523,"2010/11/22","Mon",0.99503
2455524,"2010/11/23","Tue",1.00331
2455525,"2010/11/24","Wed",1.00685
2455526,"2010/11/25","Thu",1.01092
2455527,"2010/11/26","Fri",1.01802
2455530,"2010/11/29","Mon",1.01926
2455531,"2010/11/30","Tue",1.01420
2455532,"2010/12/01","Wed",1.01760
2455533,"2010/12/02","Thu",1.01854
2455534,"2010/12/03","Fri",1.00654
2455537,"2010/12/06","Mon",1.00614
2455538,"2010/12/07","Tue",1.00150
2455539,"2010/12/08","Wed",1.01215
2455540,"2010/12/09","Thu",1.00827
2455541,"2010/12/10","Fri",1.00543
2455544,"2010/12/13","Mon",1.00110
2455545,"2010/12/14","Tue",0.99631
2455546,"2010/12/15","Wed",1.00503
2455547,"2010/12/16","Thu",1.00806
2455548,"2010/12/17","Fri",1.00241
2455551,"2010/12/20","Mon",0.98892
2455552,"2010/12/21","Tue",0.98561
2455553,"2010/12/22","Wed",0.98522
2455554,"2010/12/23","Thu",0.98571
2455555,"2010/12/24","Fri",0.98912
2455560,"2010/12/29","Wed",0.98474
2455561,"2010/12/30","Thu",0.98717
2455562,"2010/12/31","Fri",0.98232
2455566,"2011/01/04","Tue",0.99711
2455567,"2011/01/05","Wed",1.00513
2455568,"2011/01/06","Thu",1.00888
2455569,"2011/01/07","Fri",1.01153
2455572,"2011/01/10","Mon",1.01379
2455573,"2011/01/11","Tue",1.02291
2455574,"2011/01/12","Wed",1.02051
2455575,"2011/01/13","Thu",1.01307
2455576,"2011/01/14","Fri",1.02145
2455579,"2011/01/17","Mon",1.01895
2455580,"2011/01/18","Tue",1.01112
2455581,"2011/01/19","Wed",1.00331
2455582,"2011/01/20","Thu",1.01307
2455583,"2011/01/21","Fri",1.01657
"(C) 2011 Prof. Werner Antweiler, UBC"
